CGPA,Internships,Projects,Certifications,Aptitude,Chances,PlacementStatus,Improvement
9.09,2,3,2,91,High,Placed,Maintain consistency
9.25,2,4,2,92,High,Placed,Maintain consistency
9.23,2,4,3,77,High,Placed,Maintain consistency
8.83,3,4,3,84,High,Placed,Maintain consistency
8.45,3,3,2,87,High,Placed,Maintain consistency
9.25,2,4,2,96,High,Placed,Maintain consistency
9.5,2,4,3,98,High,Placed,Maintain consistency
8.95,3,3,3,97,High,Placed,Maintain consistency
8.91,3,4,2,80,High,Placed,Maintain consistency
9.73,2,3,2,82,High,Placed,Maintain consistency
7.92,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.88,0,1,0,56,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.44,0,1,0,66,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
7.72,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
7.9,0,1,0,65,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.01,0,1,0,66,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.63,0,1,0,61,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.97,0,1,0,55,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.0,0,1,0,59,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.03,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.0,3,4,2,87,High,Placed,Improve CGPA
6.23,3,4,3,76,High,Placed,Improve CGPA
6.11,3,3,3,88,High,Placed,Improve CGPA
5.42,2,4,3,90,High,Placed,Improve CGPA
6.14,2,3,3,84,High,Placed,Improve CGPA
5.66,2,3,2,81,High,Placed,Improve CGPA
5.69,2,4,3,89,High,Placed,Improve CGPA
5.78,3,3,2,75,High,Placed,Improve CGPA
5.99,3,3,3,86,High,Placed,Improve CGPA
6.35,2,4,3,79,High,Placed,Improve CGPA
5.0,0,1,0,47,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.68,0,1,0,50,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.67,0,1,0,59,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.43,0,1,0,53,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.72,0,1,0,49,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.0,0,1,0,62,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.89,0,1,0,46,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.17,0,1,0,56,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.0,0,1,0,58,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.56,0,1,0,63,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.76,1,2,1,69,High,Placed,Maintain consistency
6.56,1,2,1,66,High,Placed,Maintain consistency
6.96,1,2,1,72,High,Placed,Maintain consistency
7.35,1,2,1,67,High,Placed,Maintain consistency
6.8,1,2,1,65,High,Placed,Maintain consistency
7.3,1,2,1,67,High,Placed,Maintain consistency
6.7,1,2,1,67,High,Placed,Maintain consistency
7.59,1,2,1,76,High,Placed,Maintain consistency
7.38,1,2,1,73,High,Placed,Maintain consistency
6.26,1,2,1,69,High,Placed,Maintain consistency
6.45,0,1,0,99,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.74,0,1,0,95,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.26,0,1,0,91,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.53,0,1,0,80,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.94,0,1,0,95,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.69,0,1,0,92,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.19,0,1,0,95,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.6,0,1,0,98,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.99,0,1,0,92,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.39,0,1,0,93,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.24,2,1,0,68,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.28,3,1,0,70,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.48,2,1,0,76,High,Placed,"Improve projects, Gain certifications"
6.73,3,1,0,68,High,Placed,"Improve projects, Gain certifications"
